source_index,OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,Charger_rating.100kW,Charger_rating.11kW,Charger_rating.120kW,Charger_rating.125kW,Charger_rating.130kW,Charger_rating.13kW,Charger_rating.14kW,Charger_rating.150kW,Charger_rating.160kW,Charger_rating.165kW,Charger_rating.175kW,Charger_rating.17kW,Charger_rating.180kW,Charger_rating.185kW,Charger_rating.19kW,Charger_rating.200kW,Charger_rating.20kW,Charger_rating.22kW,Charger_rating.23kW,Charger_rating.240kW,Charger_rating.24kW,Charger_rating.250kW,Charger_rating.25kW,Charger_rating.270kW,Charger_rating.30kW,Charger_rating.350kW,Charger_rating.3kW,Charger_rating.400kW,Charger_rating.40kW,Charger_rating.42kW,Charger_rating.47kW,Charger_rating.50kW,Charger_rating.5kW,Charger_rating.60kW,Charger_rating.6kW,Charger_rating.75kW,Charger_rating.7kW,Charger_rating.80kW,Charger_rating.8kW,Charger_rating.9kW,SA4_NAME26,SA4_CODE26,PCODE_ORIGINAL,ocm_status,ocm_method,ocm_distance_m,ocm_address_score,ocm_id,ocm_address,ocm_station_name,ocm_operator,ocm_attributes,ocm_fast_dc_indicator,ocm_candidate_count,ocm_coordinate_candidate_count,ocm_nearest_coordinate_gap_m,ocm_review_reason,ocm_quality_flags,ocm_source_postcode_conflict,osm_fast_dc_status,osm_fast_dc_method,osm_fast_dc_distance_m,osm_fast_dc_address_score,osm_fast_dc_id,osm_fast_dc_address,osm_fast_dc_station_name,osm_fast_dc_operator,osm_fast_dc_attributes,osm_fast_dc_fast_dc_indicator,osm_fast_dc_candidate_count,osm_fast_dc_coordinate_candidate_count,osm_fast_dc_nearest_coordinate_gap_m,osm_fast_dc_review_reason,osm_fast_dc_quality_flags,osm_fast_dc_source_postcode_conflict,chargelarge_fast_dc_status,chargelarge_fast_dc_method,chargelarge_fast_dc_distance_m,chargelarge_fast_dc_address_score,chargelarge_fast_dc_id,chargelarge_fast_dc_address,chargelarge_fast_dc_station_name,chargelarge_fast_dc_operator,chargelarge_fast_dc_attributes,chargelarge_fast_dc_fast_dc_indicator,chargelarge_fast_dc_candidate_count,chargelarge_fast_dc_coordinate_candidate_count,chargelarge_fast_dc_nearest_coordinate_gap_m,chargelarge_fast_dc_review_reason,chargelarge_fast_dc_quality_flags,chargelarge_fast_dc_source_postcode_conflict,combined_dc_indicated_status,historical_web_evidence,ocm_strict_status,ocm_strict_method,osm_fast_dc_strict_status,osm_fast_dc_strict_method,chargelarge_fast_dc_strict_status,chargelarge_fast_dc_strict_method,strict_combined_dc_status,acceptance_basis,web_rule_selected_source,final_audit_status,matched_source,matched_external_ids,review_candidate_source,manual_review_reason,quality_review_reason,quality_review_required,augmentation_conflict_flags,accepted_source_attributes,augmented_attributes,new_attribute_count
27,,,"1 Little Walker Street, Casino NSW 2470",NRMA Electric,4,DC,50 kW,-35.442745,149.7913305,Richmond Valley Council,2470,TfNSW Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Capital Region,101,2622,review,fuzzy_address_only,792872.5121487663,0.8560975609756099,260392,"Little Walker Street, New South Wales, 2470",Little Walker Street,NRMA,"{""charger_capacities"": ""50 kW"", ""charging_point_count"": 2.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2023-04-23T10:48:00Z"", ""number_of_plugs"": null, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": 50.0, ""power_kw_min"": 50.0, ""power_kw_values"": [50.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": """"}",True,1,0,,source address and original postcode conflict; address evidence is street-level only; address-only match; coordinates exceed 500 m,,True,review,coordinate_only,37.93703118309776,0.0,https://www.openstreetmap.org/node/12644131941,,,NRMA,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 2, ""charging_point_count_raw"": 2, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": """", ""number_of_plugs"": null, ""opening_hours"": """", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,source address and original postcode conflict; candidate does not pass the automatic identity gate,,True,unmatched,unmatched,,,,,,,{},,0,0,,,,True,review,"[{""binding"": ""source_address_only; external identity not verified"", ""conclusion"": """", ""file"": ""data/reference/web_review/task3_104_non_ocm_web_verified.csv"", ""identity_decision"": ""web evidence only; same-station identity not automatically proven"", ""page_opened"": false, ""reported_confidence"": ""low"", ""url"": ""https://www.property.com.au/nsw/casino-2470/little-walker-st/1-pid-11965302/""}]",review,fuzzy_address_only,review,coordinate_only,unmatched,unmatched,review,,,review,,,OCM;OSM,OCM: source address and original postcode conflict; address evidence is street-level only; address-only match; coordinates exceed 500 m; OSM: source address and original postcode conflict; candidate does not pass the automatic identity gate,,no,,{},{},0
76,,,"10W Apsley Street, Walcha NSW 2354",NRMA Electric,4,DC,50 kW,-29.960127,146.8578887,Walcha Council,2354,TfNSW Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Far West and Orana,105,2839,review,fuzzy_address_only,467745.52422729146,1.0,480135,"10W Apsley Street, Walcha, NSW, 2354",NRMA EV Charger Walcha,NRMA,"{""charger_capacities"": """", ""charging_point_count"": 2.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2026-03-15T08:37:00Z"", ""number_of_plugs"": null, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": null, ""power_kw_min"": null, ""power_kw_values"": [], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": """"}",True,1,0,,source address and original postcode conflict; address-only match; coordinates exceed 500 m,,True,unmatched,unmatched,,,,,,,{},,0,0,,,,True,unmatched,unmatched,,,,,,,{},,0,0,,,,True,review,[],review,fuzzy_address_only,unmatched,unmatched,unmatched,unmatched,review,,,review,,,OCM,OCM: source address and original postcode conflict; address-only match; coordinates exceed 500 m,,no,,{},{},0
143,,,"134-136 Grafton Street, Coffs Harbour NSW 2450",BP,2,DC,75 kW,-30.29156861,153.1183714,Coffs Harbour City Council,2450,Existing Fast Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Coffs Harbour - Grafton,104,2450,review,coordinate_only,15.600606738978888,0.444847775175644,273433,"136 Pacific Highway, Coffs Harbour, New South Wales, 2450",Coffs Harbour [bp pulse],BP Pulse (AU),"{""charger_capacities"": ""75 kW"", ""charging_point_count"": 1.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2023-08-09T12:33:00Z"", ""number_of_plugs"": null, ""operator"": ""BP Pulse (AU)"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": 75.0, ""power_kw_min"": 75.0, ""power_kw_values"": [75.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": ""$0.55/kWh""}",True,1,1,,house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,"[{""binding"": ""same source address and OCM ID; search evidence only"", ""conclusion"": ""web_evidence_found_not_identity_proof"", ""file"": ""data/reference/web_review/task3_ocm_125_web_confidence.csv"", ""identity_decision"": ""web evidence only; same-station identity not automatically proven"", ""page_opened"": false, ""reported_confidence"": ""low"", ""url"": ""https://www.realestate.com.au/property/134-136-grafton-st-coffs-harbour-nsw-2450/""}]",review,coordinate_only,unmatched,unmatched,unmatched,unmatched,review,,,review,,,OCM,OCM: house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,no,,{},{},0
185,,,"152 Pacific Highway, 36 Josephson Street, Swansea NSW 2281",Evie Networks,4,DC,50 kW,-33.088721,151.637587,Lake Macquarie City Council,2281,ARENA - Driving the Nation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Newcastle and Lake Macquarie,111,2281,review,fuzzy_address_only,723.0986751645333,0.9483870967741936,272675,"152 Pacific Hwy, Swansea, New South Wales, 2281",Swansea,Evie,"{""charger_capacities"": ""50 kW"", ""charging_point_count"": 2.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2023-07-16T12:52:00Z"", ""number_of_plugs"": null, ""operator"": ""Evie"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": 50.0, ""power_kw_min"": 50.0, ""power_kw_values"": [50.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": """"}",True,1,0,,address-only match; coordinates exceed 500 m,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,"[{""binding"": ""same source address and OCM ID; search evidence only"", ""conclusion"": ""likely_same_station_address_coordinate_review"", ""file"": ""data/reference/web_review/task3_ocm_125_web_confidence.csv"", ""identity_decision"": ""provisionally positive; manual confirmation still recommended"", ""page_opened"": false, ""reported_confidence"": ""low"", ""url"": ""https://ev-charging-stations.com.au/chargers/nsw/swansea""}]",review,fuzzy_address_only,unmatched,unmatched,unmatched,unmatched,review,,,review,,,OCM,OCM: address-only match; coordinates exceed 500 m,,no,,{},{},0
201,,,"16 Oaks Avenue, Sydney NSW 2099",JOLT,2,DC,25 kW,-33.75370175,151.287,Northern Beaches Council,2099,Existing Fast Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sydney - Northern Beaches,122,2099,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,coordinate_only,3.515379040054551,0.0,https://www.openstreetmap.org/node/9491233549,,,Jolt,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 1, ""charging_point_count_raw"": 1, ""connector_types_normalized"": ""CHAdeMO"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": ""JOLT"", ""number_of_plugs"": null, ""opening_hours"": ""24/7"", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,external ID https://www.openstreetmap.org/node/9491233549 is shared by distinct source sites,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,[],unmatched,unmatched,review,coordinate_only,unmatched,unmatched,review,,,review,,,OSM,OSM: external ID https://www.openstreetmap.org/node/9491233549 is shared by distinct source sites,,no,,{},{},0
217,,,"173 The Vineyards Road, Lake George NSW 2581",Exploren,2,DC,60 kW,-34.99682987,149.3848398,Yass Valley Council,2581,Existing Fast Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Capital Region,101,2581,review,fuzzy_address_only,1284.074495115933,1.0,489555,"173 The Vineyards Road, Lake George, New South Wales, 2581",Lake George Winery,Exploren,"{""charger_capacities"": ""60 kW"", ""charging_point_count"": 1.0, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2026-05-18T12:30:00Z"", ""number_of_plugs"": null, ""operator"": ""Exploren"", ""plug_types"": ""CCS (Type 2)"", ""power_kw_max"": 60.0, ""power_kw_min"": 60.0, ""power_kw_values"": [60.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": ""$0.58/kWh""}",True,1,0,,address-only match; coordinates exceed 500 m,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,"[{""binding"": ""same source address and OCM ID; search evidence only"", ""conclusion"": ""likely_same_station_address_supported"", ""file"": ""data/reference/web_review/task3_ocm_125_web_confidence.csv"", ""identity_decision"": ""provisionally positive; manual confirmation still recommended"", ""page_opened"": true, ""reported_confidence"": ""high"", ""url"": ""https://ev-charging-stations.com.au/chargers/nsw/merrill; https://www.yassvalley.com.au/electricvehiclechargingstationsyass/""}]",review,fuzzy_address_only,unmatched,unmatched,unmatched,unmatched,review,,,review,,,OCM,OCM: address-only match; coordinates exceed 500 m,,no,,{},{},0
245,,,"19 Princes Highway, Figtree NSW 2525",Tesla,6,DC,175 kW,-34.4366153,150.8632982,Wollongong City Council,2525,Fast Charging R1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illawarra,107,,review,coordinate_only,151.10600322364604,0.36774461028192373,171646,"Figtree Grove Shopping Centre, The Avenue, Figtree, New South Wales, 2525",Wollongong Supercharger,Tesla (including non-tesla),"{""charger_capacities"": ""250 kW"", ""charging_point_count"": 6.0, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2023-08-30T06:17:00Z"", ""number_of_plugs"": null, ""operator"": ""Tesla (including non-tesla)"", ""plug_types"": ""CCS (Type 2)"", ""power_kw_max"": 250.0, ""power_kw_min"": 250.0, ""power_kw_values"": [250.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": ""$0.69/kWh""}",True,1,1,,address evidence is inconsistent; candidate does not pass the automatic identity gate,,False,review,coordinate_only,134.28024474513145,0.0,https://www.openstreetmap.org/node/10815562193,,Wollongong Supercharger,Tesla,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 4, ""charging_point_count_raw"": 4, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": ""Supercharger"", ""number_of_plugs"": null, ""opening_hours"": ""24/7"", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,candidate does not pass the automatic identity gate,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,[],review,coordinate_only,review,coordinate_only,unmatched,unmatched,review,,,review,,,OCM;OSM,OCM: address evidence is inconsistent; candidate does not pass the automatic identity gate; OSM: candidate does not pass the automatic identity gate,,no,,{},{},0
322,,,"211 Lake Entrance Road, Shellharbour City Centre NSW 2529",Ampol,10,DC,150 kW,-34.56639944,150.8394074,Shellharbour City Council,2529,Existing Fast Chargers,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illawarra,107,2529,review,coordinate_and_fuzzy_address,401.7187611068338,0.8906976744186047,479816,"Lake Entrance Road, Shellharbour City Centre, New South Wales, 2529",Shellharbour Ampcharge,Ampol AmpCharge,"{""charger_capacities"": ""180 kW"", ""charging_point_count"": 10.0, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2026-03-09T04:11:00Z"", ""number_of_plugs"": null, ""operator"": ""Ampol AmpCharge"", ""plug_types"": ""CCS (Type 2)"", ""power_kw_max"": 180.0, ""power_kw_min"": 180.0, ""power_kw_values"": [180.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": ""$0.60/kWh for pay-as-you-go charging.""}",True,1,1,,address evidence is street-level only; candidate does not pass the automatic identity gate,,False,review,coordinate_only,441.01226418710235,0.0,https://www.openstreetmap.org/node/12963857532,,,AmpCharge,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 10, ""charging_point_count_raw"": 10, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": """", ""number_of_plugs"": null, ""opening_hours"": """", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,candidate does not pass the automatic identity gate,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,[],review,coordinate_and_fuzzy_address,review,coordinate_only,unmatched,unmatched,review,,,review,,,OCM;OSM,OCM: address evidence is street-level only; candidate does not pass the automatic identity gate; OSM: candidate does not pass the automatic identity gate,,no,,{},{},0
331,,,"221 Wolseley Street, Jamisontown NSW 2750",Evie Networks,4,DC,350 kW,-33.770295,150.673823,Penrith City Council,2750,ARENA - Driving the Nation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sydney - Outer West and Blue Mountains,124,2614,review,coordinate_and_fuzzy_address,13.439288316696443,1.0,272693,"221 Wolseley Street, Jamisontown, New South Wales, 2750",Jamisontown,Evie,"{""charger_capacities"": ""50 kW; 350 kW"", ""charging_point_count"": 2.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2023-07-16T23:05:00Z"", ""number_of_plugs"": null, ""operator"": ""Evie"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": 350.0, ""power_kw_min"": 50.0, ""power_kw_values"": [50.0, 350.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": """"}",True,1,1,,source address and original postcode conflict; candidate does not pass the automatic identity gate,,True,unmatched,unmatched,,,,,,,{},,0,0,,,,True,unmatched,unmatched,,,,,,,{},,0,0,,,,True,review,[],review,coordinate_and_fuzzy_address,unmatched,unmatched,unmatched,unmatched,review,,,review,,,OCM,OCM: source address and original postcode conflict; candidate does not pass the automatic identity gate,,no,,{},{},0
376,,,"26 Aspect Drive, Coffs Harbour NSW 2450",Tesla,4,DC,60 kW,-30.27522227,153.1319389,Coffs Harbour City Council,2450,Existing Fast Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Coffs Harbour - Grafton,104,2450,review,coordinate_only,136.24668971129958,0.4459090909090909,474459,"351 Pacific Highway, Coffs Harbour, New South Wales, 2450",Big Banana Tesla Supercharger,(Unknown Operator),"{""charger_capacities"": ""300 kW"", ""charging_point_count"": 16.0, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2026-09-12T22:44:00Z"", ""number_of_plugs"": null, ""operator"": ""(Unknown Operator)"", ""plug_types"": ""CCS (Type 2)"", ""power_kw_max"": 300.0, ""power_kw_min"": 300.0, ""power_kw_values"": [300.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": """"}",True,1,1,,house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,False,review,coordinate_only,156.41350838917677,0.0,https://www.openstreetmap.org/way/1459249999,,Tesla Supercharger,Tesla,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 16, ""charging_point_count_raw"": 16, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": ""Supercharger"", ""number_of_plugs"": null, ""opening_hours"": ""24/7"", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,candidate does not pass the automatic identity gate,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,"[{""binding"": ""same source address and OCM ID; search evidence only"", ""conclusion"": ""web_evidence_found_not_identity_proof"", ""file"": ""data/reference/web_review/task3_ocm_125_web_confidence.csv"", ""identity_decision"": ""web evidence only; same-station identity not automatically proven"", ""page_opened"": true, ""reported_confidence"": ""low"", ""url"": ""https://www.realestate.com.au/nsw/coffs-harbour-2450/aspect-dr/""}]",review,coordinate_only,review,coordinate_only,unmatched,unmatched,review,,,review,,,OCM;OSM,OCM: house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate; OSM: candidate does not pass the automatic identity gate,,no,,{},{},0
378,,,"26 Neilly Street, Walgett NSW 2832",NRMA Electric,2,DC,75 kW,-28.8659158,153.0485564,Walgett Shire Council,2832,TfNSW Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Richmond - Tweed,112,2337,review,coordinate_only,29.415466331250112,0.2977777777777778,260392,"Little Walker Street, New South Wales, 2470",Little Walker Street,NRMA,"{""charger_capacities"": ""50 kW"", ""charging_point_count"": 2.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2023-04-23T10:48:00Z"", ""number_of_plugs"": null, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": 50.0, ""power_kw_min"": 50.0, ""power_kw_values"": [50.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": """"}",True,2,1,,source address and original postcode conflict; external postcode conflicts with source; address evidence is inconsistent; candidate does not pass the automatic identity gate,,True,unmatched,unmatched,,,,,,,{},,0,0,,,,True,unmatched,unmatched,,,,,,,{},,0,0,,,,True,review,"[{""binding"": ""same source address and OCM ID; search evidence only"", ""conclusion"": ""web_evidence_found_not_identity_proof"", ""file"": ""data/reference/web_review/task3_ocm_125_web_confidence.csv"", ""identity_decision"": ""web evidence only; same-station identity not automatically proven"", ""page_opened"": false, ""reported_confidence"": ""low"", ""url"": ""https://www.property.com.au/nsw/walgett-2832/neilly-st/26-pid-1206728/""}]",review,coordinate_only,unmatched,unmatched,unmatched,unmatched,review,,,review,,,OCM,OCM: source address and original postcode conflict; external postcode conflicts with source; address evidence is inconsistent; candidate does not pass the automatic identity gate,,no,,{},{},0
391,,,"27-33 Oaks Avenue, Dee Why NSW 2099",Evie Networks,4,DC,150 kW,-33.75442135,151.2873331,Northern Beaches Council,2099,ARENA - Driving the Nation,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sydney - Northern Beaches,122,2099,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,coordinate_only,82.75841320769793,0.0,https://www.openstreetmap.org/node/9491233549,,,Jolt,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 1, ""charging_point_count_raw"": 1, ""connector_types_normalized"": ""CHAdeMO"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": ""JOLT"", ""number_of_plugs"": null, ""opening_hours"": ""24/7"", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,external ID https://www.openstreetmap.org/node/9491233549 is shared by distinct source sites,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,[],unmatched,unmatched,review,coordinate_only,unmatched,unmatched,review,,,review,,,OSM,OSM: external ID https://www.openstreetmap.org/node/9491233549 is shared by distinct source sites,,no,,{},{},0
397,,,"2-8 Turramurra Avenue, Sydney NSW 2074",Evie Networks,4,DC,75 kW,-33.7323514,151.1307097,Ku-ring-gai Council,2074,Existing Fast Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,Sydney - North Sydney and Hornsby,121,2074,unmatched,unmatched,,,,,,,{},,0,0,,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,coordinate_only,313.00836090824686,0.41500000000000004,15d06bf5-6b4a-425d-9312-bae4b17cc22b-1309,"5 Ray St, Turramurra, NSW 2074",Turramurra Library,,"{""connector_types_normalized"": ""CCS"", ""data_provider"": ""Charge@Large"", ""dc_port_count"": 2, ""number_of_plugs"": null, ""power_kw_max"": 40.0, ""power_kw_min"": 40.0, ""power_kw_values"": [40.0], ""power_scope"": ""dc_indicated_ports"", ""site_power_range_raw"": ""40"", ""status_counts"": {""Available"": 1, ""Charging"": 1}, ""status_observed_at"": null, ""total_port_count"": 2}",True,1,1,,house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,False,review,"[{""binding"": ""source_address_only; external identity not verified"", ""conclusion"": """", ""file"": ""data/reference/web_review/task3_104_non_ocm_web_verified.csv"", ""identity_decision"": ""web evidence only; same-station identity not automatically proven"", ""page_opened"": false, ""reported_confidence"": ""low"", ""url"": ""https://www.nsw.gov.au/sites/default/files/2024-12/historic-vehicle-clubs-list_0.pdf""}]",unmatched,unmatched,unmatched,unmatched,review,coordinate_only,review,,,review,,,Charge@Large,Charge@Large: house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,no,,{},{},0
408,,,"29-55 Twynam Street, Narrandera NSW 2700",NRMA Electric,2,DC,50 kW,-34.74651756,146.548011,Narrandera Shire Council,2700,Existing Fast Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Riverina,113,2700,review,coordinate_only,203.66989536876733,0.8714285714285716,126130,"31 Twynam Street, Narrandera, NSW, 2700",Narrandera Marie Bashir Park [NRMA],NRMA,"{""charger_capacities"": ""50 kW"", ""charging_point_count"": 1.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2024-11-12T12:09:00Z"", ""number_of_plugs"": null, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": 50.0, ""power_kw_min"": 50.0, ""power_kw_values"": [50.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": ""$0.66/kWh""}",True,1,1,,house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,False,review,coordinate_only,172.07828917633566,0.0,https://www.openstreetmap.org/node/10159370719,,,NRMA,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 4, ""charging_point_count_raw"": 4, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": """", ""number_of_plugs"": null, ""opening_hours"": """", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,candidate does not pass the automatic identity gate,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,[],review,coordinate_only,review,coordinate_only,unmatched,unmatched,review,,,review,,,OCM;OSM,OCM: house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate; OSM: candidate does not pass the automatic identity gate,,no,,{},{},0
